,Date,Open*,High,Low,Close**,Volume,Market Cap
229,"Jul 27, 2014",595.67,598.94,593.43,593.85,"7,774,230","7,761,289,329"
230,"Jul 20, 2014",628.56,628.56,622.78,623.90,"5,760,120","8,137,808,455"
231,"Jul 13, 2014",634.22,634.73,624.91,626.50,"11,291,000","8,154,265,678"
232,"Jul 06, 2014",631.77,638.65,631.16,635.81,"10,080,000","8,258,179,220"
233,"Jun 29, 2014",596.33,604.08,596.16,602.72,"8,897,470","7,813,280,835"
234,"Jun 22, 2014",595.90,606.00,594.63,602.27,"10,877,700","7,788,609,493"
235,"Jun 15, 2014",575.93,592.94,554.89,592.94,"23,580,900","7,649,361,650"
236,"Jun 08, 2014",654.99,658.88,653.47,656.14,"8,614,190","8,445,489,607"
237,"Jun 01, 2014",623.69,671.51,619.91,630.23,"45,259,100","8,094,125,581"
238,"May 25, 2014",525.23,576.48,525.23,571.59,"47,010,300","7,325,371,780"
239,"May 18, 2014",448.70,449.77,444.78,446.26,"2,857,830","5,706,165,793"
240,"May 11, 2014",453.92,455.34,433.40,438.89,"12,251,700","5,598,956,479"
241,"May 04, 2014",438.52,439.77,430.05,436.40,"5,621,260","5,554,777,406"
242,"Apr 27, 2014",457.24,459.33,436.39,436.39,"10,949,500","5,542,720,307"
243,"Apr 20, 2014",501.75,510.87,490.84,498.17,"12,103,100","6,312,896,984"
244,"Apr 13, 2014",421.46,427.40,395.25,414.06,"22,493,500","5,234,667,259"
245,"Apr 06, 2014",463.40,466.32,452.97,460.50,"10,241,400","5,808,861,023"
246,"Mar 30, 2014",492.37,492.37,444.18,460.27,"42,958,300","5,791,419,543"
247,"Mar 23, 2014",565.76,570.24,560.88,561.27,"9,288,400","7,045,871,925"
248,"Mar 16, 2014",636.50,637.52,628.11,631.11,"5,277,290","7,903,422,086"
249,"Mar 09, 2014",616.31,643.95,612.35,636.96,"15,396,500","7,958,687,808"
250,"Mar 02, 2014",567.23,570.48,553.27,559.79,"7,950,760","6,978,524,072"
251,"Feb 23, 2014",606.47,639.91,599.70,605.82,"31,434,400","7,534,325,867"
252,"Feb 16, 2014",651.30,665.10,584.17,616.63,"40,061,700","7,650,358,837"
253,"Feb 09, 2014",671.46,712.27,655.25,682.90,"39,311,400","8,451,228,950"
254,"Feb 02, 2014",832.90,844.72,820.67,825.37,"11,300,900","10,190,038,654"
255,"Jan 26, 2014",853.68,897.02,844.86,885.28,"32,224,300","10,902,798,632"
256,"Jan 19, 2014",839.66,870.96,825.53,870.96,"24,365,700","10,699,504,086"
257,"Jan 12, 2014",919.60,928.52,851.17,863.22,"39,623,500","10,578,653,198"
258,"Jan 05, 2014",858.55,952.40,854.52,933.53,"72,898,496","11,379,660,685"
259,"Dec 29, 2013",728.05,748.61,714.44,745.05,"19,011,300","9,082,103,621"
